Arenas,Artist,Aspects,BackArt,BackText,Cost,DoubleSided,EpicAction,FoilPrice,FrontArt,FrontText,HP,Keywords,LowFoilPrice,LowPrice,MarketPrice,Name,Number,Power,Rarity,Set,Subtitle,Traits,Type,Unique,VariantType
"[""Ground""]",Borja Pindado,"[""Aggression"", ""Villainy""]",https://cdn.swu-db.com/images/cards/SOR/011-b.png,On Attack: You may deal 1 damage to another friendly unit with 3 or less power and ready it.,6,True,"Epic Action: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/011.png,Action [{Exhaust}]: Deal 2 damage to a friendly unit with 3 or less power and ready it.,6,,,0.05,0.17,Grand Inquisitor,011,3,Rare,SOR,Hunting The Jedi,"[""FORCE"", ""IMPERIAL"", ""INQUISITOR""]",Leader,True,Normal
"[""Ground""]",Hoan Nguyen,"[""Aggression"", ""Villainy""]",https://cdn.swu-db.com/images/cards/SOR/012-b.png,Each other friendly unit gains Raid 1. (They get +1/+0 while attacking.),5,True,"Epic Action: If you control 5 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/012.png,"Action [{Exhaust}]: Attack with a unit. If you control more units than the defending player, the attacker gets +1/+0 for this attack.",4,"[""Raid""]",,0.01,0.05,IG-88,012,5,Common,SOR,Ruthless Bounty Hunter,"[""UNDERWORLD"", ""DROID"", ""BOUNTY HUNTER""]",Leader,True,Normal
"[""Ground""]",Mickael Balloul,"[""Aggression"", ""Heroism""]",https://cdn.swu-db.com/images/cards/SOR/013-b.png,"SABOTEUR (When this unit attacks, ignore Sentinel and defeat the defender's Shields.)
When you deal damage to an enemy base: You may draw a card. Use this ability only once each round.",6,True,"Epic Action: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/013.png,"Action [1, {Exhaust}]: If you've dealt 3 or more damage to an enemy base this phase, draw a card.",6,"[""Saboteur""]",,0.01,0.11,Cassian Andor,013,4,Rare,SOR,Dedicated to the Rebellion,"[""REBEL""]",Leader,True,Normal
"[""Ground""]",Eslam Aboshady,"[""Aggression"", ""Heroism""]",https://cdn.swu-db.com/images/cards/SOR/014-b.png,On Attack: Deal 1 damage to each enemy base.,4,True,"Epic Action: If you control 4 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/014.png,Action [{Exhaust}]: Deal 1 damage to each base.,5,,,0.01,0.07,Sabine Wren,014,2,Common,SOR,Galvanized Revolutionary,"[""MANDALORIAN"", ""REBEL"", ""SPECTRE""]",Leader,True,Normal
"[""Ground""]",French Carlomagno,"[""Cunning"", ""Villainy""]",https://cdn.swu-db.com/images/cards/SOR/015-b.png,"When this unit completes an attack: If an enemy unit left play this phase, ready up to 2 resources.",5,True,"Epic Action: If you control 5 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/015.png,"When an enemy unit leaves play: You may exhaust this leader. If you do, ready a resource.",7,,,0.01,0.05,Boba Fett,015,4,Common,SOR,Collecting the Bounty,"[""UNDERWORLD"", ""BOUNTY HUNTER""]",Leader,True,Normal
"[""Ground""]",Ivan Dedov,"[""Cunning"", ""Villainy""]",https://cdn.swu-db.com/images/cards/SOR/016-b.png,"When the action phase starts: Look at the top card of each player's deck.
On Attack: You may reveal the top card of any player's deck. Exhaust a unit that costs the same as or less than the revealed card.",6,True,"Epic Action: If you control 7 or more resources, deploy this leader. (Flip him, ready him, and move him to the ground arena.)",,https://cdn.swu-db.com/images/cards/SOR/016.png,"When the action phase starts: Look at the top card of each player's deck.
Action [{C=1}, {Exhaust}]: Reveal the top card of any player's deck. Exhaust a unit that costs the same as or less than the revealed card.",9,,,0.05,0.16,Grand Admiral Thrawn,016,3,Rare,SOR,Patient and Insightful,"[""IMPERIAL"", ""OFFICIAL""]",Leader,True,Normal
"[""Ground""]",David Nash,"[""Cunning"", ""Heroism""]",https://cdn.swu-db.com/images/cards/SOR/017-b.png,"On Attack: Put the top card of your deck into play as a resource and ready it. At the start of the next action phase, defeat a resource you control.",6,True,"Epic Action: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/017.png,"Action [{Exhaust}]: Put a card from your hand into play as a resource and ready it. At the start of the next action phase, defeat a resource you control.",6,,,0.04,0.13,Han Solo,017,4,Rare,SOR,Audacious Smuggler,"[""UNDERWORLD""]",Leader,True,Normal
"[""Ground""]",Amélie Hutt,"[""Cunning"", ""Heroism""]",https://cdn.swu-db.com/images/cards/SOR/018-b.png,"While a friendly unit is attacking, the defender gets -1/-0.",6,True,"Epic Action: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/SOR/018.png,Action [{Exhaust}]: Attack with a unit. The defender gets -1/-0 for this attack.,7,,,0.01,0.05,Jyn Erso,018,4,Common,SOR,Resisting Oppression,"[""REBEL""]",Leader,True,Normal
,Tyler Edlin,"[""Vigilance""]",,,,False,,0.24,https://cdn.swu-db.com/images/cards/SOR/019.png,Epic Action: Give a Shield token to a non-leader unit.,25,,0.07,0.07,0.15,Security Complex,019,,Rare,SOR,Scarif,,Base,False,Normal
,Sebastian Guidobono,"[""Vigilance""]",,,,False,,,https://cdn.swu-db.com/images/cards/SOR/020.png,,30,,,0.05,0.11,Capital City,020,,Common,SOR,Lothal,,Base,False,Normal
,Tyler Edlin,"[""Vigilance""]",,,,False,,,https://cdn.swu-db.com/images/cards/SOR/021.png,,30,,,0.05,0.13,Dagobah Swamp,021,,Common,SOR,Dagobah,,Base,False,Normal
,Adrien Girod,"[""Command""]",,,,False,,0.93,https://cdn.swu-db.com/images/cards/SOR/022.png,Epic Action: Play a unit that costs 6 or less from your hand. Give it AMBUSH for this phase.,25,"[""Ambush""]",0.46,0.24,0.48,Energy Conversion Lab,022,,Rare,SOR,Eadu,,Base,False,Normal
,Stephen Zavala,"[""Command""]",,,,False,,,https://cdn.swu-db.com/images/cards/SOR/023.png,,30,,,0.02,0.06,Command Center,023,,Common,SOR,Death Star,,Base,False,Normal
,Stephen Zavala,"[""Command""]",,,,False,,,https://cdn.swu-db.com/images/cards/SOR/024.png,,30,,,0.07,0.12,Echo Base,024,,Common,SOR,Hoth,,Base,False,Normal
,Adrien Girod,"[""Aggression""]",,,,False,,0.66,https://cdn.swu-db.com/images/cards/SOR/025.png,Epic Action: Deal 3 damage to a damaged non-leader unit.,25,,0.59,0.27,0.51,Tarkintown,025,,Rare,SOR,Lothal,,Base,False,Normal
,Tyler Edlin,"[""Aggression""]",,,,False,,,https://cdn.swu-db.com/images/cards/SOR/026.png,,30,,,0.08,0.17,Catacombs of Cadera,026,,Common,SOR,Jedha,,Base,False,Normal
,Stephen Zavala,"[""Aggression""]",,,,False,,,https://cdn.swu-db.com/images/cards/SOR/027.png,,30,,,0.05,0.09,Kestro City,027,,Common,SOR,Vardos,,Base,False,Normal
,Rocío Espín,"[""Cunning""]",,,,False,,0.23,https://cdn.swu-db.com/images/cards/SOR/028.png,Epic Action: Give a non-leader unit -4/-0 for this phase.,25,,0.03,0.01,0.13,Jedha City,028,,Rare,SOR,Jedha,,Base,False,Normal
,Tyler Edlin,"[""Cunning""]",,,,False,,,https://cdn.swu-db.com/images/cards/SOR/029.png,,30,,,0.02,0.06,Administrator's Tower,029,,Common,SOR,Cloud City,,Base,False,Normal
,Tyler Edlin,"[""Cunning""]",,,,False,,,https://cdn.swu-db.com/images/cards/SOR/030.png,,30,,,0.05,0.12,Chopper Base,030,,Common,SOR,Atollon,,Base,False,Normal
"[""Space""]",Randall Mackey,"[""Vigilance"", ""Villainy""]",,,2,False,,0.38,https://cdn.swu-db.com/images/cards/SOR/031.png,When Played/When Defeated: Look at the top 2 cards of your deck. Put any number of them on the bottom of your deck and the rest on top in any order.,3,,0.25,0.17,0.28,Inferno Four,031,2,Uncommon,SOR,Unforgetting,"[""IMPERIAL"", ""VEHICLE"", ""FIGHTER""]",Unit,True,Normal
"[""Ground""]",Mickael Balloul,"[""Vigilance"", ""Villainy""]",,,2,False,,0.16,https://cdn.swu-db.com/images/cards/SOR/032.png,GRIT (This unit gets +1/+0 for each damage on it.),4,"[""Grit""]",0.06,0.01,0.09,Scout Bike Pursuer,032,1,Common,SOR,,"[""IMPERIAL"", ""TROOPER""]",Unit,False,Normal
"[""Ground""]",Borja Pindado,"[""Vigilance"", ""Villainy""]",,,3,False,,0.18,https://cdn.swu-db.com/images/cards/SOR/033.png,When Played: Deal 2 damage to a friendly ground unit and 2 damage to an enemy ground unit.,3,,0.05,0.01,0.05,Death Trooper,033,3,Common,SOR,,"[""IMPERIAL"", ""TROOPER""]",Unit,False,Normal
"[""Ground""]",Ario Murti,"[""Vigilance"", ""Villainy""]",,,3,False,,0.45,https://cdn.swu-db.com/images/cards/SOR/034.png,"Restore 1 (When this unit attacks, heal 1 damage from your base.) 
Each event an opponent plays costs 1 more.",3,"[""Restore""]",0.25,0.10,0.20,Del Meeko,034,3,Rare,SOR,Providing Overwatch,"[""IMPERIAL"", ""TROOPER""]",Unit,True,Normal
"[""Ground""]",Yvette Chua,"[""Vigilance"", ""Villainy""]",,,4,False,,0.22,https://cdn.swu-db.com/images/cards/SOR/035.png,"Sentinel (Units in this arena can't attack your non-sentinel units or your base.)
When Played: Reveal up to 4 Vigilance cards from your hand. For each card revealed this way, give an Experience token to this unit.",2,"[""Sentinel""]",0.10,0.05,0.14,Lieutenant Childsen,035,2,Uncommon,SOR,Death Star Prison Warden,"[""IMPERIAL"", ""OFFICIAL""]",Unit,True,Normal
"[""Ground""]",Amélie Hutt,"[""Vigilance"", ""Villainy""]",,,5,False,,0.62,https://cdn.swu-db.com/images/cards/SOR/036.png,When an enemy unit is defeated: Give an Experience token to a friendly unit.,5,,0.26,0.10,0.28,Gideon Hask,036,5,Rare,SOR,Ruthless Loyalist,"[""IMPERIAL"", ""TROOPER""]",Unit,True,Normal
"[""Ground""]",Ario Murti,"[""Vigilance"", ""Villainy""]",,,6,False,,0.18,https://cdn.swu-db.com/images/cards/SOR/037.png,"SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.) 
When Played: Give an Experience token to each friendly damaged unit.",5,"[""Sentinel""]",0.01,0.01,0.05,Academy Defense Walker,037,5,Common,SOR,,"[""IMPERIAL"", ""VEHICLE"", ""WALKER""]",Unit,False,Normal
"[""Ground""]",Mona Finden,"[""Vigilance"", ""Villainy""]",,,7,False,,0.77,https://cdn.swu-db.com/images/cards/SOR/038.png,"SHIELDED (When you play this unit, give him a Shield token.) 
When Played: You may defeat a unit with 4 or less remaining HP.",4,"[""Shielded""]",0.50,0.15,0.35,Count Dooku,038,5,Rare,SOR,Darth Tyrannus,"[""FORCE"", ""SEPARATIST"", ""SITH""]",Unit,True,Normal
"[""Ground""]",Christian Papazoglakis,"[""Vigilance"", ""Villainy""]",,,8,False,,0.21,https://cdn.swu-db.com/images/cards/SOR/039.png,When Played: Exhaust all ground units.,8,,0.05,0.01,0.09,AT-AT Suppressor,039,8,Uncommon,SOR,,"[""IMPERIAL"", ""VEHICLE"", ""WALKER""]",Unit,False,Normal
"[""Space""]",Francois Cannels,"[""Vigilance"", ""Villainy""]",,,9,False,,13.37,https://cdn.swu-db.com/images/cards/SOR/040.png,When Played/On Attack: An opponent chooses a non-leader unit they control. Defeat that unit.,8,,9.00,7.30,8.49,Avenger,040,8,Legendary,SOR,Hunting Star Destroyer,"[""IMPERIAL"", ""VEHICLE"", ""CAPITAL SHIP""]",Unit,True,Normal
,Eslam Aboshady,"[""Vigilance"", ""Villainy""]",,,3,False,,2.39,https://cdn.swu-db.com/images/cards/SOR/041.png,An opponent chooses a unit they control. Defeat that unit.,,,2.25,0.50,1.58,Power of the Dark Side,041,,Uncommon,SOR,,"[""INNATE""]",Event,False,Normal
,David Nash,"[""Vigilance"", ""Villainy""]",,,4,False,,0.51,https://cdn.swu-db.com/images/cards/SOR/042.png,"Search your deck for a card and draw it. (Then, shuffle your deck.)",,,0.10,0.10,0.27,Search Your Feelings,042,,Rare,SOR,,"[""INNATE""]",Event,False,Normal
,Liana Anatolevich,"[""Vigilance"", ""Villainy""]",,,8,False,,7.38,https://cdn.swu-db.com/images/cards/SOR/043.png,Defeat all units.,,,6.23,4.99,6.81,Superlaser Blast,043,,Legendary,SOR,,"[""DISASTER"", ""TACTIC""]",Event,False,Normal
"[""Space""]",Arthur Mougne,"[""Vigilance"", ""Heroism""]",,,2,False,,0.19,https://cdn.swu-db.com/images/cards/SOR/044.png,"Restore 1 (When this unit attacks, heal 1 damage from your base.)",3,"[""Restore""]",0.08,0.03,0.09,Restored ARC-170,044,2,Common,SOR,,"[""REBEL"", ""VEHICLE"", ""FIGHTER""]",Unit,False,Normal
"[""Ground""]",Alexandria Huntington,"[""Vigilance"", ""Heroism""]",,,3,False,,0.31,https://cdn.swu-db.com/images/cards/SOR/045.png,"Restore 2 (When this unit attacks, heal 2 damage from your base.)
When Defeated: Choose any number of players. They each draw a card.",4,"[""Restore""]",0.10,0.06,0.14,Yoda,045,2,Uncommon,SOR,Old Master,"[""FORCE"", ""JEDI""]",Unit,True,Normal
"[""Ground""]",Rebecca Farrow,"[""Vigilance"", ""Heroism""]",,,4,False,,0.07,https://cdn.swu-db.com/images/cards/SOR/046.png,,7,,0.01,0.01,0.04,Consular Security Force,046,3,Common,SOR,,"[""REBEL"", ""TROOPER""]",Unit,False,Normal
"[""Ground""]",Sandra Chlewińska,"[""Vigilance"", ""Heroism""]",,,4,False,,0.47,https://cdn.swu-db.com/images/cards/SOR/047.png,On Attack: You may discard 1 card from the defending player's deck for each friendly SPECTRE unit. Heal 1 damage from your base for each different aspect among the discarded cards.,5,,0.20,0.04,0.21,Kanan Jarrus,047,4,Uncommon,SOR,Revealed Jedi,"[""FORCE"", ""JEDI"", ""REBEL"", ""SPECTRE""]",Unit,True,Normal
"[""Ground""]",Amad Mir,"[""Vigilance"", ""Heroism""]",,,5,False,,0.12,https://cdn.swu-db.com/images/cards/SOR/048.png,"While this unit is undamaged, it gains Sentinel (Units in this arena can't attack your non-Sentinel units or your base.)",6,"[""Sentinel""]",0.05,0.01,0.02,Vigilant Honor Guards,048,4,Common,SOR,,"[""REBEL""]",Unit,False,Normal
"[""Ground""]",Amélie Hutt,"[""Vigilance"", ""Heroism""]",,,6,False,,0.94,https://cdn.swu-db.com/images/cards/SOR/049.png,"Sentinel (Units in this arena can't attack your non-Sentinel units or your base.) 
When Defeated: Give 2 Experience tokens to another friendly unit. If it's a FORCE unit, draw a card.",6,"[""Sentinel""]",0.40,0.15,0.34,Obi-Wan Kenobi,049,4,Rare,SOR,Following Fate,"[""FORCE"", ""JEDI""]",Unit,True,Normal
"[""Space""]",Fernando Correa,"[""Vigilance"", ""Heroism""]",,,6,False,,0.29,https://cdn.swu-db.com/images/cards/SOR/050.png,"SHIELDED (When you play this unit, give a Shield token to it.)
When Played/On Attack: You may give a Shield token to another SPECTRE unit.",5,"[""Shielded""]",0.14,0.03,0.14,The Ghost,050,5,Uncommon,SOR,Spectre Home Base,"[""REBEL"", ""VEHICLE"", ""TRANSPORT"", ""SPECTRE""]",Unit,True,Normal
"[""Ground""]",Eric Hibbeler,"[""Vigilance"", ""Heroism""]",,,7,False,,24.37,https://cdn.swu-db.com/images/cards/SOR/051.png,"RESTORE 3
When Played: Give an enemy unit -3/-3 for this phase. If a friendly unit was defeated this phase, give that enemy unit -6/-6 for this phase instead.",7,"[""Restore""]",22.69,17.65,18.52,Luke Skywalker,051,6,Legendary,SOR,Jedi Knight,"[""FORCE"", ""JEDI"", ""REBEL""]",Unit,True,Normal
"[""Space""]",Christian Papazoglakis,"[""Vigilance"", ""Heroism""]",,,8,False,,1.11,https://cdn.swu-db.com/images/cards/SOR/052.png,"SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.) 
When Played: Heal up to 8 total damage from any number of units and/or bases. Deal that much damage to this unit.",9,"[""Sentinel""]",0.54,0.25,0.59,Redemption,052,6,Rare,SOR,Medical Frigate,"[""REBEL"", ""VEHICLE"", ""CAPITAL SHIP""]",Unit,True,Normal
,French Carlomagno,"[""Vigilance"", ""Heroism""]",,,2,False,,50.00,https://cdn.swu-db.com/images/cards/SOR/053.png,"Attach to a non-VEHICLE unit.
When Played: If attached unit is Luke Skywalker, heal all damage from him and give a Shield token to him.",1,,50.00,0.15,0.41,Luke's Lightsaber,053,3,Special,SOR,,"[""ITEM"", ""WEAPON"", ""LIGHTSABER""]",Upgrade,True,Normal
,Arthur Mougne,"[""Vigilance"", ""Heroism""]",,,3,False,,1.75,https://cdn.swu-db.com/images/cards/SOR/054.png,"Attach to a non-VEHICLE unit.
If attached unit is a FORCE unit, it gains: ""On Attack: Give the defender -2/-2 for this phase.""",3,,0.86,0.40,0.93,Jedi Lightsaber,054,3,Rare,SOR,,"[""ITEM"", ""WEAPON"", ""LIGHTSABER""]",Upgrade,False,Normal
,Anny Maulina,"[""Vigilance"", ""Heroism""]",,,4,False,,0.30,https://cdn.swu-db.com/images/cards/SOR/055.png,"Choose a friendly unit and give 2 Experience tokens to it. If you control a FORCE unit, also give a Shield token to the chosen unit.
You may attack with the chosen unit.",,,0.10,0.09,0.18,The Force Is With Me,055,,Uncommon,SOR,,"[""FORCE""]",Event,False,Normal
"[""Ground""]",Luke Harrington,"[""Vigilance"", ""Vigilance""]",,,6,False,,0.35,https://cdn.swu-db.com/images/cards/SOR/056.png,"SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.) 
On Attack: The next non-Heroism, non-Villainy card you play this phase costs 2 less.",7,"[""Sentinel""]",0.20,0.04,0.18,Bendu,056,4,Rare,SOR,The One in the Middle,"[""FORCE"", ""CREATURE""]",Unit,True,Normal
,Alex Accorsi,"[""Vigilance"", ""Vigilance""]",,,1,False,,0.19,https://cdn.swu-db.com/images/cards/SOR/057.png,Attached unit gains SENTINEL. (Units in this arena can't attack your non-Sentinel units or your base.),1,"[""Sentinel""]",0.06,0.01,0.10,Protector,057,1,Uncommon,SOR,,"[""INNATE""]",Upgrade,False,Normal
,Cristina Laviña,"[""Vigilance"", ""Vigilance""]",,,4,False,,11.92,https://cdn.swu-db.com/images/cards/SOR/058.png,"Choose two, in any order:
Discard 6 cards from an opponent's deck. 
Heal 5 damage from a base. 
Defeat a unit with 3 or less remaining HP. 
Give a Shield token to a unit.",,,9.08,7.00,8.24,Vigilance,058,,Legendary,SOR,,"[""INNATE""]",Event,False,Normal
"[""Ground""]",Hoan Nguyen,"[""Vigilance""]",,,1,False,,0.10,https://cdn.swu-db.com/images/cards/SOR/059.png,On Attack: You may heal 2 damage from another unit.,3,,0.01,0.01,0.05,2-1B Surgical Droid,059,1,Common,SOR,,"[""DROID""]",Unit,False,Normal
"[""Space""]",Francois Cannels,"[""Vigilance""]",,,2,False,,0.19,https://cdn.swu-db.com/images/cards/SOR/060.png,When Defeated: You may give a Shield token to a Vigilance unit.,1,,0.09,0.01,0.10,Distant Patroller,060,2,Uncommon,SOR,,"[""FRINGE"", ""VEHICLE"", ""FIGHTER""]",Unit,False,Normal
"[""Ground""]",Alexandria Huntington,"[""Vigilance""]",,,2,False,,0.11,https://cdn.swu-db.com/images/cards/SOR/061.png,The first upgrade you play on this unit each round costs 1 less.,2,,0.01,0.01,0.04,Guardian of the Whills,061,2,Common,SOR,,"[""FORCE"", ""FRINGE""]",Unit,False,Normal
"[""Ground""]",Yvette Chua,"[""Vigilance""]",,,2,False,,0.70,https://cdn.swu-db.com/images/cards/SOR/062.png,"When Played: Name a card. While this unit is in play, opponents can't play the named card.",4,,0.30,0.10,0.32,Regional Governor,062,1,Rare,SOR,,"[""IMPERIAL"", ""OFFICIAL""]",Unit,False,Normal
"[""Ground""]",Tomas Oleksak,"[""Vigilance""]",,,3,False,,0.15,https://cdn.swu-db.com/images/cards/SOR/063.png,Sentinel (Units in this arena can't attack your non-Sentinel units or your base.),4,"[""Sentinel""]",0.01,0.01,0.04,Cloud City Wing Guard,063,2,Common,SOR,,"[""FRINGE"", ""TROOPER""]",Unit,False,Normal
"[""Ground""]",Ash Pierce,"[""Vigilance""]",,,3,False,,0.13,https://cdn.swu-db.com/images/cards/SOR/064.png,"SHIELDED (When you play this unit, give a Shield token to it.)",4,"[""Shielded""]",0.01,0.01,0.07,Wilderness Fighter,064,2,Common,SOR,,"[""TROOPER""]",Unit,False,Normal
"[""Ground""]",Milos Slavkovic,"[""Vigilance""]",,,4,False,,0.20,https://cdn.swu-db.com/images/cards/SOR/065.png,"GRIT (This unit gets +1/+0 for each damage on him.)
While you have the initiative, this unit gains SENTINEL. (Units in this arena can't attack your non-Sentinel units or your base.)",5,"[""Grit"", ""Sentinel""]",0.10,0.01,0.08,Baze Malbus,065,2,Uncommon,SOR,Temple Guardian,"[""FRINGE""]",Unit,True,Normal
"[""Space""]",Christian Papazoglakis,"[""Vigilance""]",,,4,False,,0.13,https://cdn.swu-db.com/images/cards/SOR/066.png,Sentinel (Units in this arena can't attack your non-Sentinel units or your base.),4,"[""Sentinel""]",0.05,0.01,0.05,System Patrol Craft,066,3,Common,SOR,,"[""VEHICLE"", ""FIGHTER""]",Unit,False,Normal
"[""Ground""]",Elena Skitalets,"[""Vigilance""]",,,5,False,,0.14,https://cdn.swu-db.com/images/cards/SOR/067.png,"Grit (This unit gets +1/+0 for each damage on it.)
On Attack: If you control a leader unit, you may draw a card.",5,"[""Grit""]",0.05,0.01,0.04,Rugged Survivors,067,3,Common,SOR,,"[""FRINGE""]",Unit,False,Normal
"[""Ground""]",Thomas Wievegg,"[""Vigilance""]",,,6,False,,0.15,https://cdn.swu-db.com/images/cards/SOR/068.png,"SHIELDED (When you play this unit, give a Shield token to it.)
When Played: If you control another Vigilance unit, heal 4 damage from your base.",6,"[""Shielded""]",0.08,0.01,0.04,Cargo Juggernaut,068,4,Common,SOR,,"[""VEHICLE"", ""TANK""]",Unit,False,Normal
